word,profanity
hey,0.0
everyone,1.0
thanks,2.0
for,3.0
joining,4.0
the,5.0
call,6.0
oh,7.0
fuck,8.0
off,7.0
i,6.0
forgot,5.0
my,4.0
slides,3.0
so,2.0
before,1.0
we,0.0
dive,0.0
into,0.0
the,0.0
main,0.0
agenda,0.0
i,0.0
just,0.0
wanted,0.0
to,0.0
quickly,0.0
check,0.0
can,0.0
everyone,0.0
hear,0.0
me,0.0
okay,0.0
great,0.0
did,0.0
anyone,0.0
took,0.0
time,0.0
to,0.0
read,0.0
the,0.015
agenda,0.97
why,1.778
is,2.6550000000000002
everybody,3.6140000000000003
acting,4.442
like,5.4190000000000005
a,6.344
donkey,7.298
today,6.345
alright,5.537
so,4.66
as,3.7009999999999996
you,2.8729999999999998
know,1.8960000000000001
we,0.971
ve,0.002
been,0.0
making,0.0
progress,0.0
on,0.0
the,0.0
backend,0.0
integration,0.0
but,0.002
we,0.002
hit,0.005
a,0.005
bit,0.005
of,0.005
a,0.006
roadblock,0.01
with,0.01
the,0.014
authentication,0.677
flow,1.655
oh,2.6550000000000002
my,3.6550000000000002
god,4.654
you,5.65
are,6.648
such,7.644
a,7.978
fucking,8.0
idiot,7.998
i,6.998
spoke,5.998
with,4.998
the,3.998
dev,2.998
team,1.998
earlier,0.998
and,0.0
we,0.0
re,0.0
considering,0.0
switching,0.0
to,0.0
a,0.0
different,0.0
approach,0.0
using,0.0
token,0.0
based,0.0
validation,0.0
instead,0.0
of,0.0
session,0.0
based,0.0
it,0.0
should,0.0
help,0.0
with,0.0
scalability,0.0
but,0.0
i,0.0
want,0.0
to,0.0
make,0.0
sure,0.0
we,0.0
re,0.0
all,0.0
aligned,0.0
before,0.0
we,0.0
commit,0.0
to,0.0
the,0.0
change,0.0
please,0.0
patricia,0.014
stop,0.792
talking,1.029
to,1.504
us,2.503
you,3.5020000000000002
are,4.501
so,5.496
annoying,6.472
and,6.689
extremely,7.446
stupid,7.966
does,6.967
anyone,5.968
have,4.969
any,3.974
concerns,2.984
or,1.9889999999999999
should,0.995
we,0.0
move,0.0
forward,0.0
with,0.0
testing,0.0
it,0.0
